Num_Acc;id_usager;id_vehicule;num_veh;place;catu;grav;sexe;an_nais;trajet;secu1;secu2;secu3;locp;actp;etatp
202200000557;1 098 391;812 989;A01;1;1;4;1;1992.0;5;1;-1;-1;0;0;-1
202200000558;1 098 392;812 988;A01;1;1;3;1;1964.0;0;8;-1;-1;0;0;-1
202200000559;1 098 387;812 985;A01;1;1;2;1;1983.0;5;2;6;-1;0;0;-1
202200000560;1 098 383;812 982;A01;1;1;1;2;1982.0;5;8;-1;-1;0;0;-1
202200000560;1 098 386;812 986;B01;2;2;4;2;2004.0;0;8;-1;-1;0;0;-1
202200000560;1 098 388;812 986;B01;5;2;4;1;2007.0;0;8;-1;-1;0;0;-1
202200000560;1 098 389;812 986;B01;1;1;3;2;1971.0;0;8;-1;-1;0;0;-1
202200000561;1 098 385;812 984;A01;1;1;3;1;2003.0;5;2;6;-1;0;0;-1
202200000562;1 098 382;812 981;A01;1;1;3;1;1945.0;5;2;6;-1;0;0;-1
202200000562;1 098 384;812 983;B01;1;1;1;2;1943.0;9;1;-1;-1;0;0;-1
202200000563;1 098 380;812 980;A01;10;3;4;1;2000.0;5;0;-1;-1;6;1;1
202200000563;1 098 381;812 980;A01;1;1;1;1;1964.0;4;1;-1;-1;0;0;-1
202200000564;1 098 375;812 977;B01;1;1;1;1;1949.0;5;1;0;-1;0;0;-1
202200000564;1 098 378;812 979;A01;2;2;3;1;2005.0;5;2;0;-1;0;0;-1
202200000564;1 098 379;812 979;A01;1;1;3;1;2005.0;5;2;0;-1;0;0;-1
202200000565;1 098 374;812 975;B01;1;1;3;1;1994.0;5;2;-1;-1;0;0;-1
202200000565;1 098 377;812 978;A01;1;1;1;1;1987.0;4;1;-1;-1;0;0;-1
202200000566;1 098 372;812 973;A01;1;1;3;2;1982.0;5;1;-1;-1;0;0;-1
202200000566;1 098 376;812 976;B01;1;1;1;1;1946.0;5;1;-1;-1;0;0;-1
202200000567;1 098 370;812 972;A01;1;1;4;1;1981.0;0;0;-1;-1;0;0;-1
202200000568;1 098 369;812 971;A01;2;2;1;2;1935.0;5;1;-1;-1;0;0;-1
202200000568;1 098 371;812 971;A01;1;1;1;2;1969.0;5;1;-1;-1;0;0;-1
202200000568;1 098 373;812 974;B01;1;1;3;2;1974.0;1;2;6;-1;0;0;-1
202200000569;1 098 366;812 968;A01;1;1;2;1;1957.0;0;2;0;-1;-1; -1;-1
202200000570;1 098 365;812 967;B01;1;1;4;1;1977.0;5;1;-1;-1;0;0;-1
202200000570;1 098 368;812 970;A01;1;1;1;1;1985.0;5;1;-1;-1;0;0;-1
202200000571;1 098 362;812 966;A01;1;1;1;1;1962.0;0;1;-1;-1;0;0;-1
202200000571;1 098 364;812 966;A01;10;3;4;1;1985.0;4;4;-1;-1;1;9;2
202200000572;1 098 360;812 965;A01;1;1;4;1;1995.0;5;1;-1;-1;0;0;-1
202200000572;1 098 361;812 965;A01;7;2;1;2;1995.0;5;1;-1;-1;0;0;-1
202200000572;1 098 363;812 965;A01;2;2;4;2;2001.0;5;1;-1;-1;0;0;-1
202200000573;1 098 358;812 964;Z01;10;3;4;1;1961.0;1;0;-1;-1;1;1;2
202200000574;1 098 356;812 963;A01;1;1;4;2;2005.0;0;2;6;-1;0;0;-1
202200000575;1 098 354;812 960;B01;1;1;3;1;2000.0;5;2;-1;-1;0;0;-1
202200000575;1 098 355;812 962;A01;1;1;1;1;2000.0;5;8;-1;-1;0;0;-1
202200000576;1 098 357;812 961;A01;1;1;3;2;2002.0;1;1;-1;-1;0;0;-1
202200000577;1 098 347;812 957;B01;2;2;1;2;2001.0;5;1;-1;-1;0;0;-1
202200000577;1 098 350;812 957;B01;1;1;1;1;1992.0;5;1;-1;-1;0;0;-1
202200000577;1 098 352;812 959;A01;2;2;1;2;1979.0;5;2;6;9;0;0;-1
202200000577;1 098 353;812 959;A01;1;1;3;1;1976.0;5;2;6;9;0;0;-1
202200000578;1 098 344;812 954;A01;1;1;1;1;1946.0;5;1;-1;-1;0;0;-1
202200000578;1 098 349;812 956;B01;1;1;3;1;1980.0;5;2;-1;-1;0;0;-1
202200000579;1 098 342;812 953;A01;1;1;4;1;1977.0;2;2;-1;-1;0;0;-1
202200000579;1 098 343;812 953;A01;2;2;4;2;2016.0;2;2;-1;-1;0;0;-1
202200000580;1 098 338;812 949;A01;1;1;3;2;1999.0;0;1;0;-1;-1; -1;-1
202200000581;1 098 337;812 948;A01;1;1;3;2;1960.0;5;1;-1;-1;0;0;-1
202200000581;1 098 339;812 951;B01;1;1;4;1;1997.0;5;1;-1;-1;0;0;-1
202200000581;1 098 341;812 952;C01;1;1;4;2;2000.0;5;1;-1;-1;0;0;-1
202200000582;1 098 333;812 944;B01;1;1;3;1;1982.0;1;2;8;-1;-1; -1;-1
202200000582;1 098 335;812 947;A01;1;1;1;1;1971.0;1;1;0;-1;-1; -1;-1
202200000583;1 098 329;812 941;A01;1;1;1;1;1996.0;1;1;0;-1;-1; -1;-1
202200000583;1 098 330;812 942;B01;1;1;4;2;1997.0;9;1;0;-1;-1; -1;-1
202200000583;1 098 331;812 942;B01;2;2;4;2;1994.0;0;1;0;-1;-1; -1;-1
