Num_Acc;id_vehicule;num_veh;senc;catv;obs;obsm;choc;manv;motor;occutc
202200000240;813 547;B01;2;7;0;0;4;2;1;
202200000240;813 548;A01;2;33;0;2;1;0;1;
202200000241;813 545;A01;1;7;0;0;8;1;1;
202200000241;813 546;B01;3;7;0;2;1;16;1;
202200000242;813 544;A01;2;7;8;0;3;17;1;
202200000243;813 542;A01;2;7;0;2;3;13;1;
202200000243;813 543;B01;1;7;0;2;8;1;1;
202200000244;813 540;A01;1;7;0;0;1;13;1;
202200000244;813 541;B01;2;7;0;0;3;1;1;
202200000245;813 538;A01;0;31;0;2;7;2;1;
202200000245;813 539;B01;0;7;0;2;3;2;1;
202200000246;813 536;A01;1;10;0;2;1;1;1;
202200000246;813 537;B01;3;7;9;2;6;1;1;
202200000247;813 535;A01;1;33;13;0;2;17;1;
202200000248;813 531;C01;2;7;0;0;6;23;2;
202200000248;813 532;D01;1;7;0;2;8;1;1;
202200000248;813 533;B01;2;33;0;0;6;23;1;
202200000248;813 534;A01;2;33;0;2;9;1;1;
202200000249;813 530;A01;1;7;13;0;1;1;1;
202200000250;813 529;A01;1;7;0;1;3;0;1;
202200000251;813 527;B01;2;80;0;2;7;1;3;
202200000251;813 528;A01;2;21;0;9;3;16;1;
202200000252;813 525;A01;2;7;0;2;2;1;1;
202200000252;813 526;B01;2;31;0;0;4;1;1;
202200000253;813 523;A01;1;7;0;2;2;2;1;
202200000253;813 524;B01;1;1;0;2;8;13;5;
202200000254;813 520;A01;0;7;0;2;1;1;1;
202200000254;813 521;B01;0;7;0;2;4;1;1;
202200000254;813 522;C01;0;7;0;0;4;1;1;
202200000255;813 518;A01;1;7;0;2;3;1;1;
202200000255;813 519;B01;2;7;0;2;2;1;1;
202200000256;813 517;A01;0;0;0;1;0;0;0;
202200000257;813 515;B01;2;50;0;2;0;1;3;
202200000257;813 516;A01;2;15;0;9;1;9;1;
202200000258;813 514;A01;2;33;0;0;0;1;1;
202200000259;813 511;C01;1;7;4;2;4;2;1;
202200000259;813 512;B01;1;7;4;2;5;2;1;
202200000259;813 513;A01;1;7;4;2;1;2;1;
202200000260;813 509;B01;2;7;4;2;6;24;1;
202200000260;813 510;A01;2;7;4;2;1;14;1;
202200000261;813 506;C01;1;7;0;2;4;0;1;
202200000261;813 507;B01;1;7;0;2;4;2;1;
202200000261;813 508;A01;1;10;0;2;1;2;1;
202200000262;813 504;A01;2;31;0;2;2;1;3;
202200000262;813 505;B01;2;7;0;2;6;1;1;
202200000263;813 502;B01;1;7;3;2;1;2;1;
202200000263;813 503;A01;1;7;0;2;4;0;1;
202200000264;813 500;A01;2;10;0;2;4;0;0;
202200000264;813 501;B01;2;33;0;2;1;0;1;
202200000265;813 498;A01;1;7;0;2;2;2;1;
202200000265;813 499;B01;1;33;0;2;3;12;1;
202200000266;813 496;A01;1;7;0;2;4;2;1;
202200000266;813 497;B01;1;7;0;2;1;0;1;
202200000267;813 495;A01;1;3;0;1;1;1;1;
202200000268;813 491;A01;1;7;0;2;1;13;1;
202200000268;813 492;B01;2;7;0;2;3;23;1;
202200000268;813 493;C01;2;7;0;2;2;23;1;
202200000269;813 489;B01;2;7;0;2;6;9;1;
202200000269;813 490;A01;1;7;0;2;3;1;1;
202200000270;813 488;A01;2;7;0;1;1;1;1;
202200000271;813 487;A01;1;7;0;1;1;1;1;
202200000272;813 485;B01;1;7;0;2;1;1;1;
202200000272;813 486;A01;2;7;0;2;2;15;1;
202200000273;813 483;A01;1;7;0;2;1;9;1;
202200000273;813 484;B01;1;7;0;2;2;1;2;
202200000274;813 481;A01;2;7;0;2;7;1;1;
202200000274;813 482;B01;2;7;0;2;2;1;1;
202200000275;813 478;B01;1;7;0;2;1;2;1;
202200000275;813 480;A01;1;7;0;2;4;2;1;
202200000276;813 477;B01;2;7;0;2;3;1;0;
202200000276;813 479;A01;1;32;0;2;1;5;1;
202200000277;813 474;B01;3;10;0;2;1;1;1;
202200000277;813 476;A01;3;34;0;2;1;13;1;
202200000278;813 473;A01;2;10;0;2;8;17;1;
202200000278;813 475;B01;2;33;0;2;7;17;1;
202200000279;813 470;B01;2;7;0;2;5;2;1;
202200000279;813 472;A01;2;7;0;2;6;2;1;
202200000280;813 469;A01;3;7;0;2;3;1;1;
202200000280;813 471;B01;3;3;0;2;3;0;1;
202200000281;813 466;A01;1;7;10;0;1;1;1;
202200000282;813 467;A01;2;7;0;2;1;1;1;
202200000282;813 468;B01;2;7;0;2;6;15;1;
202200000283;813 463;A01;3;7;0;1;2;15;1;
202200000284;813 464;A01;2;7;0;2;6;15;1;
202200000284;813 465;B01;2;7;0;2;3;1;1;
202200000285;813 460;B01;0;33;0;0;4;1;1;
202200000285;813 462;A01;0;7;0;2;1;1;1;
202200000286;813 459;A01;2;32;0;2;1;1;1;
202200000286;813 461;B01;1;7;0;2;7;15;1;
202200000287;813 456;A01;1;2;0;2;2;21;1;
202200000287;813 458;B01;1;10;0;2;6;16;1;
202200000288;813 455;B01;3;7;0;2;3;1;1;
202200000288;813 457;A01;3;33;0;2;1;1;1;
202200000289;813 454;A01;1;2;0;0;0;0;1;
202200000290;813 453;A01;0;37;0;1;0;1;0;1.0
202200000291;813 450;B01;1;7;0;2;3;5;1;
202200000291;813 451;A01;2;7;0;2;3;1;1;
202200000292;813 449;A01;1;33;0;0;7;1;1;
202200000293;813 445;B01;2;2;0;2;3;9;1;
202200000293;813 446;A01;2;7;0;2;2;1;1;
202200000294;813 444;A01;3;7;0;1;3;1;1;
202200000295;813 440;B01;1;7;0;2;8;1;1;
202200000295;813 442;A01;1;10;0;2;1;19;1;
202200000296;813 441;B01;1;10;0;2;2;0;0;
202200000296;813 443;A01;1;7;4;2;2;5;1;
202200000297;813 438;A01;0;15;0;1;1;1;1;
202200000298;813 439;A01;2;33;12;0;1;2;1;
202200000299;813 435;B01;0;7;0;2;0;0;1;
202200000299;813 437;A01;0;2;0;2;0;0;1;
202200000300;813 433;A01;1;34;3;2;7;3;1;
202200000300;813 434;B01;1;7;3;2;6;1;1;
202200000300;813 436;C01;1;7;0;2;8;1;1;
202200000301;813 432;A01;1;50;1;0;7;1;3;
202200000302;813 429;A01;2;10;0;2;4;1;1;
202200000302;813 431;B01;2;7;0;2;1;2;1;
202200000303;813 428;B01;2;80;0;2;1;1;3;
