Num_Acc;catr;voie;v1;v2;circ;nbv;vosp;prof;pr;pr1;plan;lartpc;larrout;surf;infra;situ;vma
202200000036;3;ALI DJERMOUNI (RD PT);0;;3;1;0;1;0;0;1;; -1;2;0;1;50
202200000037;4;JULES VALLES (R);0;;2;2;0;1;0;1;1;; -1;2;0;1;50
202200000038;3;MAURICE BERTEAUX (AV);0;;2;2;0;1;0;1;1;; -1;2;0;1;50
202200000039;2;MARECHAL DE LATTRE DE TASSIGNY (AV);0;;2;4;0;1;20;530;1;; -1;1;0;1;50
202200000040;3;VAUBAN (AVENUE);0;;2;2;0;1;0;1;1;; -1;1;0;1;50
202200000041;3;ANDRE CITROEN (BOULEVARD);0;;2;3;0;1;0;1;1;; -1;2;0;1;50
202200000042;4;LEFEVRE (BOULEVARD);0;;2;2;0;1;140;0;1;; -1;2;0;1;50
202200000043;5;CITE MARCEL PAUL;0;;2;2;0;1;0;1;1;; -1;1;0;4;50
202200000044;4;ALSACE-LORRAINE (BOULEVARD);0;;3;4;0;2;1;0;1;; -1;2;5;1;50
202200000045;3;JEAN JAURES (AVENUE) (76/128);0;;3;4;3;1;0;1;1;; -1;3;1;1;50
202200000046;4;JEAN JAURES (AVENUE);0;;1;2;0;1;0;0;1;; -1;1;0;1;30
202200000047;4;CARNOT (AVENUE) DU 1-2 AU 43-46;0;;1;1;0;1;1;0;1;; -1;1;0;1;50
202200000048;3;PIERRE DE MONTREUIL S5 (RUE);0;;1;2;0;1;0;1;3;; -1;2;9;1;30
202200000049;4;LEON BLUM (AVENUE);0;;2;2;0;1;0;0;1;; -1;2;0;1;30
202200000050;3;MITRY [CD115] (ROUTE DE);0;;3;4;0;1;0;1;1;; -1;3;0;1;50
202200000052;3;910;0;;-1;1;3;1;0;0;1;; -1;2;6;4;30
202200000054;3;JARDY;0;;3;4;0;1;0;0;1;; -1;2;0;1;70
202200000056;2;13;0;;1;0;0;1;0;0;1;; -1;2;0;1;50
202200000057;3;906;0;;2;2;0;2;0;0;1;; -1;1;0;1;50
202200000061;3;75;0;;2;3;0;2;0;0;1;; -1;2;0;1;50
202200000063;3;128;0;;2;2;0;1;1;0;1;; -1;1;0;1;50
202200000064;3;67A;0;;1;1;0;1;0;0;1;; -1;2;0;1;50
202200000065;1;28;0;A;3;2;0;1;76;100;2;; -1;1;0;1;130
202200000067;2;2;0;N;1;1;0;1;29;700;1;; -1;1;0;1;50
202200000068;3;2019;-1;;2;2;0;1;2;5;1;; -1;1;0;1;50
202200000069;2;176;-1;;3;2;0;1;0;500;2;; -1;2;0;1;90
202200000070;1;28;0;A;3;4;0;1;66;800;1;; -1;1;0;1;90
202200000071;3;113;-1;;2;2;0;1;21;800;1;; -1;1;0;3;80
202200000072;3;944;-1;;2;2;0;1;35;64;1;; -1;1;0;1;90
202200000073;2;4;-1;;2;2;0;1;25;200;1;; -1;2;0;1;80
202200000074;2;44;0;N;1;1;0;2;68;400;1;; -1;1;0;3;70
202200000075;3;80;0;;2;2;0;2;38;260;2;; -1;1;0;1;80
202200000076;3;817;-1;;2;2;0;1;14;832;1;; -1;1;0;1;90
202200000077;3;RD;0;R;2;2;0;1;6;601;1;; -1;1;0;1;80
202200000078;3;40;0;;2;2;0;1;6;50;1;; -1;2;0;3;80
202200000079;3;83;-1;;2;2;0;1;2;800;1;; -1;2;0;1;80
202200000080;3;26;0;;2;2;0;1;7;0;1;; -1;2;0;1;80
202200000081;3;14;-1;;2;2;0;1;0;275;1;; -1;2;0;1;50
202200000082;3;965;0;;2;2;0;1;33;700;3;; -1;1;0;1;80
202200000084;3;212;0;;2;2;0;2;19;0;2;; -1;1;0;3;90
202200000085;3;8;0;;2;2;0;2;22;468;2;; -1;1;0;1;90
202200000087;3;67;0;D;1;1;0;1;6;247;2;; -1;1;5;1;-1
202200000089;3;173;-1;;2;2;0;1;3;300;2;; -1;1;0;1;80
202200000090;3;93;0;;2;2;0;1;42;320;1;; -1;2;0;3;80
